Open Price,High Price,Low Price,Close Price,Trade Value,Number Of Trades,Traded Quantity
1729,1755.5,1727,1733.45,11629623310,193759,6686090
1703.9,1748.9,1686.55,1741.65,16453341374,263393,9510390
1707.7,1719.95,1690.1,1704.4,7776599068,181480,4564109
1697,1722.5,1691.3,1712.2,9585318722,144604,5612790
1679.15,1696.5,1674,1689.6,9551399368,152218,5659579
1674.8,1684,1668,1677.55,8211808502,149326,4899639
1668,1680,1661.05,1677.25,11463058438,135096,6846517
1661,1667.45,1646.4,1663.3,8314309678,113096,5018477
1657,1660.65,1644,1650.2,6206401477,100454,3754855
1649.5,1666,1647.05,1653.55,8975400927,124049,5420536
1669.1,1679.9,1639.05,1649.25,11143605331,152430,6740391
1647,1658.65,1635.6,1655.2,9074703957,140415,5513668
1627.45,1634.75,1619.2,1631.55,9038450771,123236,5553389
1610,1623.4,1606.15,1610.5,10058016360,136907,6234257
1600.1,1620,1600.1,1617,7526375522,144550,4660873
1605.1,1607.6,1585.5,1605.6,7487050951,110822,4686788
1605,1609.3,1597.9,1602.55,9446568394,108822,5892859
1594.1,1611.65,1594.1,1603.9,7366526111,128901,4586710
1588.55,1598.5,1585.05,1590.45,6653435201,144421,4179719
1561.4,1592.85,1561.4,1590.2,12415707697,233651,7854575
1538.3,1557.7,1538,1550.05,7845558519,138422,5069939
1544.7,1552.9,1537.55,1541.7,8743641779,192818,5669162
1573.75,1574.65,1549.6,1555.45,9775371404,191620,6265593
1557.9,1596.85,1556,1580.8,15851201207,248472,10021355
1554,1582.8,1538.1,1576.9,8856261427,169742,5657716
1556.4,1556.4,1536.3,1544.95,6874707703,177123,4456160
1570.55,1578,1533.75,1547.85,7152341637,145234,4588982
1556,1569.9,1551,1562.9,5368362103,125788,3436594
1568,1576,1549,1560.75,5189118228,158022,3326813
1566.05,1570.55,1544.65,1564.6,7485054452,143812,4797120
1573.7,1586.75,1557.1,1562.2,6441517705,120142,4089574
1569.15,1585,1561.05,1578.95,6382678903,123094,4058338
1558.95,1569.45,1542.6,1567.8,8034520020,136155,5166064
1576.85,1576.85,1559.05,1560.4,7537112361,150925,4814317
1572.05,1591,1572.05,1580.8,9587562982,167938,6058722
1561,1573.65,1559.2,1563.05,9252700415,197132,5913567
1572.9,1580.15,1560.6,1571.8,7884237903,136591,5019178
1572,1578,1543,1574.2,15307252499,192643,9780240
1517,1568.75,1511.2,1559.2,16647892220,263797,10785137
1525,1525,1498.65,1503.15,8340557842,118288,5529809
1509.7,1521.45,1502.1,1511.85,9709910031,127430,6427862
1493,1505.8,1484.2,1500.3,8164276798,124524,5454052
1509,1515.8,1487.4,1503.3,20326029670,240906,13533974
1475.1,1502.65,1475.1,1495.3,11423116458,229654,7677951
1472.7,1489.45,1467.5,1480.6,11327444063,162924,7661710
1464,1476,1463,1473.9,7941636318,141422,5403104
1471,1477,1453.45,1461.8,10435431661,147667,7132294
1430.1,1451.6,1429.45,1446.9,8861316924,173378,6140828
1424,1429,1419,1424.3,4977561087,121283,3496575
1413.4,1425,1404.6,1415.3,7636846520,137139,5394317
1396,1421.75,1395.55,1412.95,10396698470,188069,7360630
1391,1392,1377.3,1389.65,7138486995,127520,5154576
1393.95,1396.9,1377.65,1385.65,5809075427,109532,4194328
1388.1,1399,1377.05,1389.65,7089319506,137141,5115645
1380.75,1391.95,1365,1378.65,12748517787,186335,9272276
1400,1401,1378.65,1387.2,6635964927,180376,4791325
1401.5,1401.5,1383,1393.75,6171426113,145671,4429904
1409.75,1414,1396.1,1405.05,5993259438,106771,4261312
1404.2,1416.25,1391.7,1402.25,21583297999,250209,15365391
1367.9,1400,1362.05,1397.25,9500378458,174833,6850024
1358,1368,1354.45,1361.6,5582984591,129513,4099340
1356.65,1363,1345.1,1348.05,5714441956,108054,4225371
1347.5,1357.5,1346.35,1354.5,6717856343,153186,4969733
1348.4,1349.1,1335,1339.3,6020330291,111007,4490092
1342,1357.45,1333.25,1337,5963617810,135009,4435878
1338,1344.6,1329.5,1340,7520081253,135851,5620150
1320.3,1334.95,1320.3,1329.4,6669458544,118670,5017129
1326.85,1326.85,1311.3,1316.4,6350387005,180008,4824609
1330,1330,1314.5,1327,6937427272,143805,5241898
1336.9,1341,1325.1,1330.65,8539945151,201614,6420988
1349.85,1352.9,1335.05,1339.55,9649893780,160151,7195348
1365.3,1373.05,1348.5,1352.55,6774539803,146974,4991435
1345,1364.7,1337.4,1361.6,6514432065,128184,4810090
1341.1,1343.9,1327.8,1341.5,5268794240,113183,3939788
